mmedia,emedia,chi,c,temperaturas
0.9992684651692708,-1.997131689453125,-1116586.0380630493,-4168456.609649658,1.0
0.9985628580729167,-1.9944154622395833,-996874.333496414,-3169083.0215186486,1.0892142857142857
0.9973960042317709,-1.9899891438802084,-881351.7383340056,-2255852.893867226,1.1784285714285714
0.9956103515625,-1.9833435546875,-748646.3249938659,-1287846.088548103,1.267642857142857
0.9930089029947917,-1.973857421875,-607041.7122382018,-356656.7974538909,1.3568571428571428
0.9893712646484375,-1.960988134765625,-427718.76816960383,673700.8291542645,1.4460714285714285
0.9843319091796875,-1.9437674153645834,-186818.30429243264,1857227.3555068863,1.5352857142857144
0.9775139811197917,-1.9214397786458333,150062.3936675152,3132976.8136444488,1.6245
0.9684816569010417,-1.893290869140625,611711.8121163374,4533968.514505156,1.7137142857142857
0.9563689290364583,-1.858007177734375,1386172.410797437,6266627.9556682585,1.8029285714285714
0.9399253499348958,-1.8137080403645833,2564724.4522296335,8047432.267944756,1.8921428571428571
0.9173321614583333,-1.7588998697916667,5027365.40594355,10713561.139777964,1.981357142857143
0.8831438395182292,-1.6886049967447916,12593994.662503168,14374125.413900018,2.0705714285714287
0.8280727945963542,-1.5985301920572916,32984599.43683517,19022174.524813034,2.1597857142857144
0.6559265462239583,-1.45880439453125,670534732.453171,38022924.56134817,2.249
0.6859861735026042,-1.4654281901041666,384398500.5310398,31437224.637454186,2.25
0.66280390625,-1.452085400390625,413621288.6706652,32865643.41127314,2.2559322033898304
0.6645965413411459,-1.4464634114583332,375563381.12572867,31899553.427269086,2.261864406779661
0.6088880533854166,-1.4283123860677083,854821350.3067392,36442825.33008067,2.2677966101694915
0.5966700520833333,-1.4179381673177083,728456703.907908,37808687.17253512,2.273728813559322
0.4750844482421875,-1.3869631510416667,1283089256.7510602,37573311.75052689,2.2796610169491527
0.5254209635416667,-1.391222900390625,1109655705.611187,36729738.12253216,2.285593220338983
0.4590671875,-1.3707916341145834,1182033872.364559,36660331.514535025,2.2915254237288134
0.46290599772135416,-1.363766650390625,1134811663.4954016,35386376.18649847,2.297457627118644
0.38577548014322915,-1.3459328287760417,1384218171.0020053,35107512.65709956,2.3033898305084746
0.42504894205729166,-1.342380419921875,1083706888.5769134,34601358.567551754,2.309322033898305
0.3655487874348958,-1.32586298828125,1107089325.203419,31938798.84777622,2.3152542372881357
0.28713186848958333,-1.3056474446614583,933715970.8246446,27645272.638504814,2.321186440677966
0.3081706298828125,-1.3025119303385417,956609812.840446,26852546.432566293,2.3271186440677964
0.2957152913411458,-1.2945083821614582,971589058.6735224,27786048.17186018,2.3330508474576273
0.23822891438802082,-1.2808333170572916,740783080.4876446,24281012.57508836,2.3389830508474576
0.2536291341145833,-1.275009765625,713050275.5793504,22580888.395142157,2.344915254237288
0.21581294759114583,-1.262409521484375,615866671.2666694,22745490.987259433,2.3508474576271188
0.20349204915364583,-1.25209609375,552362729.1490879,21839173.831343856,2.356779661016949
0.20883611653645834,-1.2482463053385418,589349051.9146622,22425202.755062684,2.3627118644067795
0.19412264811197916,-1.2420352864583333,564418758.2294927,21329447.443895575,2.3686440677966103
0.17059130859375,-1.2318283040364584,415894511.15184516,19325344.95521303,2.3745762711864407
0.18190254720052082,-1.225998681640625,484331135.5842425,21093417.99455504,2.3805084745762715
0.17900416666666666,-1.219947705078125,503193878.3096108,21425150.55648189,2.386440677966102
0.15246466471354167,-1.2119085286458333,350836631.9912417,18881146.197665997,2.392372881355932
0.15385491536458334,-1.2053079915364584,367526559.5763332,19259686.50769263,2.398305084745763
0.15180196940104165,-1.199434326171875,326753256.6306435,18058098.039199557,2.4042372881355933
0.1467390625,-1.190973388671875,307176402.47233135,18338625.14566435,2.4101694915254237
0.14412544759114584,-1.18685068359375,305518856.62802607,18609572.228299484,2.4161016949152545
0.13596004231770834,-1.1807761393229166,288943996.2935483,17743285.04490174,2.422033898305085
0.14011021321614583,-1.1738259765625,296895415.86322445,17162727.58638555,2.4279661016949152
0.13369295247395832,-1.168301953125,262989991.78672934,16815854.386506077,2.433898305084746
0.12617469889322916,-1.16143076171875,235464341.99497533,16780599.52103505,2.4398305084745764
0.1296408203125,-1.157281982421875,249806274.88068902,16825678.184332654,2.4457627118644067
0.11942377115885416,-1.1494652669270833,227707826.88350382,16254741.470890587,2.4516949152542376
0.12116310221354167,-1.1449158854166666,220961165.9578009,16019412.836510096,2.457627118644068
0.11094357096354167,-1.1377377766927084,184223620.92209804,15501469.621815618,2.4635593220338983
0.1021889892578125,-1.1323611165364584,170620689.42135185,15340095.890378674,2.469491525423729
0.106156103515625,-1.1273183756510416,172189912.04278082,14707686.95036683,2.4754237288135594
0.109051025390625,-1.122295166015625,192601396.62657744,15209433.694508785,2.48135593220339
0.1037396240234375,-1.1163567708333333,172101641.22280335,14522830.248020465,2.4872881355932206
0.0991177001953125,-1.1123285970052084,154642945.64194393,14593384.700789444,2.493220338983051
0.0949214599609375,-1.106701416015625,135648321.42144415,14074475.201914152,2.4991525423728813
0.09799827473958334,-1.1020924641927083,148937844.95942146,13784198.373603493,2.505084745762712
0.09825176595052083,-1.0971102213541666,142992569.45504647,13941015.484365657,2.5110169491525425
0.08965187174479167,-1.0904615397135418,129180518.10309117,13589331.635907536,2.516949152542373
0.09332894694010417,-1.0874148600260416,128169808.26372455,13692661.531710366,2.5228813559322036
0.09196903483072917,-1.08214150390625,122141673.87075678,13550021.362705555,2.528813559322034
0.08780609537760417,-1.0779865071614583,113659534.08896424,13080745.174657045,2.5347457627118644
