mmedia,emedia,chi,c,temperaturas
0.9992737141927084,-1.99715283203125,-58106066.15722656,-227508585.05859375,1.0
0.9981754671223958,-1.9929380338541667,-51037329.5982474,-172185875.01148805,1.1233333333333333
0.9961002392578125,-1.98514669921875,-44581590.81835416,-126591666.40550719,1.2466666666666666
0.9925393245442709,-1.9721956608072917,-38248451.79879961,-86533460.96788587,1.37
0.986901328125,-1.9524907584635416,-31213375.370570596,-48844413.093158185,1.4933333333333332
0.9782508935546875,-1.9238094173177083,-22271189.39865899,-9480591.466697445,1.6166666666666667
0.9653085091145833,-1.8837859635416667,-8772210.950689206,32714728.34428466,1.74
0.9458348372395833,-1.8291366048177082,15302942.287252627,82198082.60010958,1.8633333333333333
0.9157012565104167,-1.7551843522135417,68008994.21616113,144949283.30265734,1.9866666666666666
0.8633012451171875,-1.6525970182291667,260152861.73240337,231144569.97689644,2.11
0.8691653059895833,-1.6624918294270834,226487754.01529947,219129369.22167304,2.1
0.8596072493489584,-1.6468165494791667,286698888.1318798,238255840.77037886,2.115
0.8507731787109375,-1.6319451985677083,324031053.1208737,249837420.59469986,2.13
0.8389020231119791,-1.6150281217447917,493592770.83788604,273236217.5577555,2.145
0.8277310188802083,-1.5983824934895834,550607174.8747648,284053654.9304182,2.16
0.8138435221354167,-1.58013958984375,886209346.1741198,309735077.736078,2.1750000000000003
0.7983075520833334,-1.5607273893229168,960581798.1975957,327316606.9416265,2.19
0.7790427734375,-1.5397091666666667,1373853336.548682,360511684.49456495,2.205
0.7552023779296875,-1.517293876953125,1995094205.3057694,403002554.65967965,2.22
0.7249015006510416,-1.4919652506510417,3081445476.3604145,429923384.5916599,2.2350000000000003
0.6610513916015625,-1.460713701171875,15643283244.90625,544870793.5165895,2.25
0.5771514957682292,-1.4276991341145833,28910238069.74068,602370553.1171116,2.265
0.5025720166015625,-1.3961624153645833,33797423839.428925,686023175.6031978,2.2800000000000002
0.39336161946614584,-1.3629020768229168,48635453723.20682,574251759.9536222,2.295
0.17438592936197916,-1.3238381315104166,27801453005.26134,401232215.129832,2.31
0.171988251953125,-1.30336255859375,27774033003.61549,421364691.95354944,2.325
0.14583891927083334,-1.2807347135416667,17291601311.222218,345475581.2248314,2.3400000000000003
0.10654909342447917,-1.2587441373697916,11340944798.669735,328099849.3004985,2.355
0.09073439615885416,-1.2397261848958334,7657501899.385769,324005292.2126264,2.37
0.08088975260416667,-1.222115517578125,6744042003.1512375,292386889.90486515,2.3850000000000002
0.07664251302083333,-1.2040154915364583,5882542858.516222,298365002.22184914,2.4000000000000004
0.073377431640625,-1.1880309602864583,5697145624.343995,269457413.1982956,2.415
0.06822550130208334,-1.1723243815104167,4242268131.2432494,265635262.56034443,2.43
0.0592103515625,-1.156763291015625,3517804829.8493576,249828856.70248398,2.4450000000000003
0.056684200846354164,-1.1416150162760417,3166616222.768224,237636884.92118818,2.46
0.05229045084635417,-1.127598525390625,2755688547.6563077,239530821.904812,2.475
0.05209252604166666,-1.1150828059895834,2666030291.416924,225502746.50969586,2.49
0.050447184244791665,-1.102133837890625,2609283282.2268143,215926981.1389259,2.5050000000000003
0.048063375651041663,-1.0894847005208332,2098388341.8456903,207087775.2190376,2.52
0.04406890787760417,-1.0769270182291666,2035591297.869859,202516864.33736244,2.535
0.043110556640625,-1.0648979915364583,1788236175.844412,196446339.13173413,2.5500000000000003
0.039091456705729166,-1.0537970768229166,1506711958.7852602,195382710.56143454,2.5650000000000004
0.03878251139322917,-1.042393564453125,1478501950.0933838,186654809.79067138,2.58
0.03689656575520833,-1.0318326334635417,1329129503.4035437,180119151.1983453,2.595
0.0353139892578125,-1.0212238899739583,1256434075.9643185,174521856.82204044,2.6100000000000003
0.035769583333333334,-1.0110547037760416,1163025569.8792367,172392857.4899376,2.625
0.034065154622395837,-1.0010810123697917,1090969489.4663157,166525371.8652366,2.64
0.034012412109375,-0.9916626888020833,1085494751.804712,162863214.29253235,2.6550000000000002
0.03136157877604167,-0.9815990104166666,946462436.661211,158778319.64400628,2.67
0.03126923014322917,-0.9722714811197917,925423642.8774619,155051304.29404253,2.685
0.0301447216796875,-0.963418955078125,818336548.3844883,153483622.29951665,2.7
0.0302332421875,-0.957523623046875,847363193.0384208,150612797.19029084,2.71
0.024713409830729168,-0.8818000748697916,532450441.4324178,122874737.34715462,2.8533333333333335
0.021078767903645833,-0.8185492838541667,370878002.1285642,104705743.85671659,2.9966666666666666
0.018802252604166667,-0.765283818359375,285732604.2842513,88133812.39927924,3.14
0.017226053059895833,-0.7191396907552083,227531219.1688841,78405331.8656453,3.283333333333333
0.016017034505208333,-0.6789606868489584,186503615.04747108,68481814.1028241,3.4266666666666667
0.014976044921875,-0.6433011002604166,157003677.6763404,61147897.755149856,3.5700000000000003
0.014244446614583333,-0.6115300162760416,136987277.25172848,54492533.31233824,3.7133333333333334
0.013314345703125,-0.5828816666666666,115047125.1914504,49394416.128181286,3.8566666666666665
0.012894708658854167,-0.5572690592447916,105453070.63977829,44621108.906051636,4.0
