mmedia,emedia,chi,c,temperaturas
0.9992698102678571,-1.997135044642857,-495.52808359079063,-848.0703007355332,1.0
0.9984723772321429,-1.9940613839285715,-343.34882765524304,715.0598837277129,1.0927857142857142
0.9973060825892858,-1.989626674107143,-161.58479679291048,2325.857499383262,1.1855714285714285
0.9953655133928572,-1.982404017857143,118.0003288655186,4583.943502697261,1.2783571428571427
0.992498046875,-1.972006138392857,524.5828414246578,7409.944863749449,1.371142857142857
0.9885652901785714,-1.9580747767857143,1044.6845608884953,10346.008841313535,1.4639285714285712
0.9829868861607143,-1.9392377232142857,1961.4540305987891,14481.74854846702,1.5567142857142857
0.9755318080357143,-1.91487890625,2993.7057895842795,18249.384237149363,1.6495
0.9653638392857142,-1.8834079241071429,4939.647850068882,23990.25861470338,1.7422857142857142
0.9508917410714286,-1.8425675223214286,8794.797232782808,31102.07481063341,1.8350714285714285
0.9311948474702381,-1.7921599702380953,16069.585167539452,40186.72650880733,1.9278571428571427
0.9008063616071429,-1.7279105282738094,46803.81231405759,52219.036518747445,2.0206428571428567
0.8601043526785714,-1.6491389508928571,74344.45975127579,65787.88649135375,2.1134285714285714
0.7894333147321428,-1.5432503720238095,161837.606296772,85522.93717498818,2.2062142857142857
0.6765065104166667,-1.4135727306547619,313406.7768994946,99932.7828558405,2.299
0.6624888392857143,-1.4018301711309524,336373.4569795916,102739.99444166788,2.3
0.6776637834821428,-1.4095572916666668,299815.351669664,100089.88999346677,2.302261306532663
0.667647693452381,-1.401939732142857,320882.6333716845,101083.81147581278,2.3045226130653265
0.6578775111607142,-1.3947213541666668,332693.2220265175,100457.15104482167,2.3067839195979896
0.6661430431547619,-1.3978504464285715,308396.49084831716,97663.56195508124,2.309045226130653
0.651291015625,-1.3888472842261905,348121.1401222102,102548.6560675201,2.311306532663316
0.6561647135416667,-1.389147693452381,322319.21137611597,102124.19791887142,2.3135678391959797
0.6411619233630952,-1.3793004092261905,354453.29672346445,102225.02404654193,2.315829145728643
0.638557384672619,-1.37640234375,360291.1863583906,101861.70731077153,2.3180904522613064
0.6480861235119048,-1.3815943080357143,339059.6909827618,103171.33384774909,2.3203517587939695
0.6333523065476191,-1.3710308779761904,356341.9166214122,101910.67171399828,2.322613065326633
0.6374606584821428,-1.3712025669642858,348433.822903277,102475.02015622793,2.324874371859296
0.6157047991071428,-1.3570636160714287,380826.6094270356,102797.43693139669,2.3271356783919597
0.6237411644345238,-1.361646019345238,370187.5669333825,103341.7992331972,2.3293969849246228
0.6103998325892858,-1.3509380580357142,381195.2795565436,102227.00343029296,2.3316582914572863
0.6168683965773809,-1.3514748883928571,356448.7550349094,99758.23361291776,2.3339195979899494
0.6065010230654762,-1.3475059523809523,391935.3384322016,103747.27605024487,2.336180904522613
0.6088577008928572,-1.343543712797619,367809.93892392097,100940.90208437575,2.338442211055276
0.605318359375,-1.3422345610119049,371427.54321181955,101199.75755751462,2.3407035175879396
0.6060326450892857,-1.339465773809524,370375.38222249877,100207.61415014356,2.3429648241206027
0.6074235491071428,-1.339913318452381,366319.74869341037,99127.87503428977,2.3452261306532662
0.5956415550595238,-1.3323463541666667,385355.61163483275,101690.96751624932,2.3474874371859293
0.5996059337797619,-1.3321629464285714,369016.95153384417,99659.50090490695,2.349748743718593
0.5891448102678571,-1.3236008184523809,374508.6876213555,100831.11634073635,2.352010050251256
0.5857536272321429,-1.3209763764880953,376147.15071791643,98366.1609807444,2.3542713567839195
0.5867634858630952,-1.3213260788690475,388300.7090970469,100636.05744562787,2.3565326633165826
0.5800056733630953,-1.3140342261904763,373261.42933566455,97135.97023986642,2.358793969849246
0.5836435081845238,-1.3162730654761905,374735.7461312729,98428.17109962646,2.3610552763819093
0.577539806547619,-1.3122557663690477,388281.6798005311,99179.80157568496,2.363316582914573
0.5742134486607143,-1.3074681919642857,382543.74827742483,98487.59715532382,2.365577889447236
0.5621326264880953,-1.3002349330357144,392657.4712118236,97092.27411670925,2.3678391959798994
0.5600946800595238,-1.298203125,398355.22908317286,98165.53913021846,2.3701005025125625
0.5534136904761905,-1.2920749627976191,399776.1859573632,98293.61122854981,2.372361809045226
0.5511682477678571,-1.2885541294642857,388665.4106160749,95010.03076542463,2.374623115577889
0.5465869605654762,-1.2851715029761905,407936.42033935466,98038.50433714753,2.3768844221105527
0.5521449962797619,-1.28846875,387326.6739250926,95365.71365026856,2.379145728643216
0.532859375,-1.2747555803571429,403293.794249836,94382.22831739043,2.3814070351758794
0.5443065476190476,-1.279671875,393976.52705528017,94438.65930644175,2.3836683417085425
0.5416808035714286,-1.2795215773809523,402607.4821768871,96692.26840159613,2.385929648241206
0.536438988095238,-1.2741011904761905,400679.7932926946,94730.508184882,2.388190954773869
0.5368450520833333,-1.274024181547619,394229.3351729924,92520.76837959957,2.3904522613065327
0.5269532180059524,-1.265313988095238,398872.733312511,93751.8724914491,2.3927135678391958
0.5228837425595239,-1.2598748139880953,395049.2857866927,93478.5389063679,2.3949748743718593
0.5204123883928572,-1.26059375,406882.53809803963,94400.23372239068,2.3972361809045224
0.519430431547619,-1.257811755952381,400046.5657103481,93711.19610647154,2.399497487437186
0.5228800223214286,-1.2578450520833333,395618.5447481148,91659.84875034369,2.401758793969849
0.5007008928571428,-1.2440286458333334,410863.65874095703,92176.48474307716,2.4040201005025126
0.5025066034226191,-1.2428744419642856,392734.21756698744,88982.05056954332,2.4062814070351757
0.5073924851190477,-1.2455844494047619,400130.5140927058,91655.29315175553,2.408542713567839
0.508489769345238,-1.2417697172619047,385216.73515801976,89769.2327258491,2.4108040201005023
